admin_unit;events;flood_start;flood_end;duration
ML0605;19;2022-07-10;2022-07-11;2
ML0605;20;2022-08-12;2022-08-13;2
ML0701;0;1998-06-17;1998-06-18;2
ML0701;1;1998-08-17;1998-08-17;1
ML0701;2;2005-06-06;2005-06-07;2
ML0701;3;2006-07-29;2006-07-29;1
ML0701;4;2009-06-04;2009-06-04;1
ML0701;5;2010-08-28;2010-08-28;1
ML0701;6;2019-08-07;2019-08-07;1
ML0702;0;2009-08-05;2009-08-05;1
ML0702;1;2011-07-18;2011-07-18;1
ML0702;2;2019-08-07;2019-08-07;1
ML0702;3;2022-08-09;2022-08-10;2
ML0702;4;2022-08-24;2022-08-25;2
ML0702;5;2022-08-24;2022-08-25;2
ML0703;0;2008-08-18;2008-08-18;1
ML0703;1;2009-09-02;2009-09-02;1
ML0703;2;2010-06-14;2010-06-14;1
ML0703;3;2010-07-20;2010-07-20;1
ML0703;4;2010-08-01;2010-08-01;1
ML0703;5;2010-08-28;2010-08-28;1
ML0703;6;2015-09-03;2015-09-03;1
ML0703;7;2016-08-01;2016-08-01;1
ML0703;8;2016-08-02;2016-08-02;1
ML0703;9;2017-11-30;2017-11-30;1
ML0703;10;2018-08-31;2018-08-31;1
ML0703;11;2019-08-07;2019-08-07;1
ML0703;12;2019-08-07;2019-08-07;1
ML0801;0;2000-08-25;2000-08-26;2
ML0802;0;2004-08-15;2004-08-15;1
ML0802;1;2010-08-01;2010-08-01;1
ML0802;2;2016-08-01;2016-08-01;1
ML0802;3;2018-09-19;2018-09-19;1
ML0802;4;2019-08-07;2019-08-07;1
ML0802;5;2019-08-07;2019-08-07;1
ML0802;6;2022-05-01;2022-05-02;2
ML0803;0;2010-07-16;2010-07-16;1
ML0803;1;2010-08-01;2010-08-01;1
ML0803;2;2013-08-09;2013-08-10;2
ML0803;3;2013-08-09;2013-08-10;2
ML0803;4;2013-08-09;2013-08-10;2
ML0803;5;2013-08-09;2013-08-10;2
ML0803;6;2019-08-07;2019-08-07;1
ML0803;7;2019-08-07;2019-08-07;1
ML0901;0;1999-08-04;1999-08-05;2
ML0901;1;1999-08-04;1999-08-05;2
ML0901;2;1999-08-04;1999-08-05;2
ML0901;3;2013-08-29;2013-08-30;2
ML0901;4;2013-08-31;2013-08-31;1
ML0901;5;2013-09-08;2013-09-08;1
ML0901;6;2014-06-05;2014-06-05;1
ML0901;7;2016-08-01;2016-08-01;1
ML0901;8;2016-08-04;2016-08-04;1
ML0901;9;2017-07-18;2017-07-18;1
ML0901;10;2017-08-24;2017-08-24;1
ML0901;11;2017-10-07;2017-10-08;2
ML0901;12;2017-11-30;2017-11-30;1
ML0901;13;2018-09-19;2018-09-19;1
ML0901;14;2019-05-16;2019-05-17;2
ML0901;15;2022-06-17;2022-06-18;2
ML0901;16;2022-08-12;2022-08-13;2
ML0901;17;2022-08-12;2022-08-13;2
ML0901;18;2022-08-12;2022-08-13;2
ML0901;19;2022-08-12;2022-08-13;2
ML1001;0;2012-08-07;2012-08-07;1
ML1001;1;2016-08-01;2016-08-01;1
ML1001;2;2018-09-19;2018-09-19;1
