admin_unit;events;event;flood_start;flood_end;duration
GOUNDAM;9;9;2011-07-15;2011-07-15;1
GOUNDAM;10;10;2022-08-12;2022-08-13;2
GOURMA-RH;0;0;1999-08-21;1999-08-21;1
GOURMA-RH;1;1;1999-08-22;1999-08-22;1
GOURMA-RH;2;2;2001-06-01;2001-06-01;1
GOURMA-RH;3;3;2009-08-26;2009-08-26;1
GOURMA-RH;4;4;2010-07-02;2010-07-02;1
GOURMA-RH;5;5;2010-07-22;2010-07-22;1
GOURMA-RH;6;6;2011-08-20;2011-08-20;1
GOURMA-RH;7;7;2022-08-12;2022-08-13;2
GOURMA-RH;8;8;2022-08-12;2022-08-13;2
GOURMA-RH;9;9;2022-08-12;2022-08-13;2
GOURMA-RH;10;10;2022-09-06;2022-09-07;2
GOURMA-RH;11;11;2022-09-06;2022-09-07;2
GOURMA-RH;12;12;2022-09-06;2022-09-07;2
INTACHDAYTE;0;0;2019-08-07;2019-08-07;1
KADIOLO;0;0;2007-09-06;2007-09-06;1
KADIOLO;1;1;2008-06-17;2008-06-17;1
KADIOLO;2;2;2022-08-04;2022-08-05;2
KANGABA;0;0;1997-07-31;1997-07-31;1
KANGABA;1;1;1999-08-18;1999-08-18;1
KANGABA;2;2;1999-08-19;1999-08-19;1
KANGABA;3;3;2007-08-31;2007-08-31;1
KANGABA;4;4;2009-09-02;2009-09-02;1
KANGABA;5;5;2010-09-04;2010-09-04;1
KANGABA;6;6;2011-08-10;2011-08-10;1
KANGABA;7;7;2011-08-10;2011-08-10;1
KANGABA;8;8;2011-08-19;2011-08-19;1
KANGABA;9;9;2011-08-21;2011-08-21;1
KATI;0;0;1995-05-25;1995-05-25;1
KATI;1;1;1999-08-05;1999-08-05;1
KATI;2;2;1999-08-17;1999-08-17;1
KATI;3;3;1999-08-20;1999-08-20;1
KATI;4;4;2005-08-18;2005-08-18;1
KATI;5;5;2007-08-24;2007-08-24;1
KATI;6;6;2009-09-18;2009-09-18;1
KATI;7;7;2010-07-27;2010-07-27;1
KATI;8;8;2010-08-01;2010-08-01;1
KATI;9;9;2010-09-01;2010-09-01;1
KATI;10;10;2010-09-03;2010-09-03;1
KATI;11;11;2010-09-18;2010-09-18;1
KATI;12;12;2011-08-10;2011-08-10;1
KATI;13;13;2011-08-19;2011-08-19;1
KATI;14;14;2013-08-28;2013-08-28;1
KATI;15;15;2013-09-03;2013-09-03;1
KATI;16;16;2022-06-17;2022-06-18;2
KATI;17;17;2022-08-12;2022-08-13;2
