;gaugeId;issue_date;issue_time;fc_date;fc_value
116;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-18;1240.904541015625
117;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-19;1181.4393310546875
118;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-20;1128.25244140625
119;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-21;1090.0447998046875
120;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-15;1385.1282958984375
121;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-16;1338.5015869140625
122;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-17;1287.99609375
123;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-18;1237.500244140625
124;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-19;1176.7247314453125
125;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-20;1124.663818359375
126;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-21;1086.758544921875
127;hybas_1121905290;2024-11-16;2024-11-16 13:36:57.888058+00:00;2024-11-22;1050.1685791015625
128;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-16;1335.424072265625
129;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-17;1285.5732421875
130;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-18;1234.5313720703125
131;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-19;1173.3555908203125
132;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-20;1119.5089111328125
133;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-21;1081.721923828125
134;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-22;1046.16064453125
135;hybas_1121905290;2024-11-17;2024-11-17 13:53:49.361878+00:00;2024-11-23;1011.46240234375
136;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-17;1288.0330810546875
137;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-18;1236.5303955078125
138;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-19;1185.6593017578125
139;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-20;1129.8314208984375
140;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-21;1088.34375
141;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-22;1052.4652099609375
142;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-23;1017.5326538085938
143;hybas_1121905290;2024-11-18;2024-11-18 11:06:13.736260+00:00;2024-11-24;983.3480224609375
144;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-09;0.85470050573349
145;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-10;0.8389168381690979
146;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-11;0.764820396900177
147;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-12;0.7430000305175781
148;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-13;0.7298763990402222
149;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-14;0.7153652310371399
150;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-15;0.7127512097358704
151;hybas_1120661040;2024-11-10;2024-11-10 13:37:35.708217+00:00;2024-11-16;0.7130386829376221
152;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-10;0.8387405276298523
153;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-11;0.8090935349464417
154;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-12;0.737200915813446
155;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-13;0.7310951948165894
156;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-14;0.7314209938049316
157;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-15;0.7066493630409241
158;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-16;0.717404305934906
159;hybas_1120661040;2024-11-11;2024-11-11 14:00:33.090207+00:00;2024-11-17;0.7130080461502075
160;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-11;0.804317831993103
161;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-12;0.7818880081176758
162;hybas_1120661040;2024-11-12;2024-11-12 13:45:54.649236+00:00;2024-11-13;0.7221378684043884
