,Observation,Start Date,End Date,StationName
240,1,2000-08-08 12:00:00,2000-08-09 12:00:00,Pankourou
241,1,2000-08-13 12:00:00,2000-10-16 12:00:00,Pankourou
242,1,2001-09-07 12:00:00,2001-09-14 12:00:00,Pankourou
243,1,2003-08-26 12:00:00,2003-09-08 12:00:00,Pankourou
244,1,2003-09-11 12:00:00,2003-09-28 12:00:00,Pankourou
245,1,2003-10-02 12:00:00,2003-10-24 12:00:00,Pankourou
246,1,2006-09-11 12:00:00,2006-10-07 12:00:00,Pankourou
247,1,2006-10-10 12:00:00,2006-10-13 12:00:00,Pankourou
248,1,2006-10-16 12:00:00,2006-11-01 12:00:00,Pankourou
249,1,2007-08-18 12:00:00,2007-10-19 12:00:00,Pankourou
250,1,2008-08-23 12:00:00,2008-08-27 12:00:00,Pankourou
251,1,2008-08-29 12:00:00,2008-10-18 12:00:00,Pankourou
252,1,2009-08-28 12:00:00,2009-10-17 12:00:00,Pankourou
253,1,2010-09-04 12:00:00,2010-11-01 12:00:00,Pankourou
254,1,2011-09-18 12:00:00,2011-10-06 12:00:00,Pankourou
255,1,2012-08-09 12:00:00,2012-08-30 12:00:00,Pankourou
256,1,2012-09-02 12:00:00,2012-11-02 12:00:00,Pankourou
257,1,2013-08-30 12:00:00,2013-10-09 12:00:00,Pankourou
258,1,2014-08-21 12:00:00,2014-10-12 12:00:00,Pankourou
259,1,2015-08-27 12:00:00,2015-10-11 12:00:00,Pankourou
260,1,2016-08-02 12:00:00,2016-10-24 12:00:00,Pankourou
261,1,2017-08-25 12:00:00,2017-09-18 12:00:00,Pankourou
262,1,2017-10-03 12:00:00,2017-10-11 12:00:00,Pankourou
263,1,2018-08-01 12:00:00,2018-09-11 12:00:00,Pankourou
264,1,1980-07-18 12:00:00,1980-07-19 12:00:00,Bafing Makana
265,1,1980-10-13 12:00:00,1980-10-20 12:00:00,Bafing Makana
266,1,1981-07-21 12:00:00,1981-07-24 12:00:00,Bafing Makana
267,1,1981-09-24 12:00:00,1981-09-27 12:00:00,Bafing Makana
268,1,1982-07-26 12:00:00,1982-08-17 12:00:00,Bafing Makana
269,1,1982-10-24 12:00:00,1982-10-29 12:00:00,Bafing Makana
270,1,1983-08-03 12:00:00,1983-08-11 12:00:00,Bafing Makana
271,1,1983-10-11 12:00:00,1983-10-12 12:00:00,Bafing Makana
272,1,1984-08-02 12:00:00,1984-08-10 12:00:00,Bafing Makana
273,1,1984-09-23 12:00:00,1984-09-24 12:00:00,Bafing Makana
274,1,1984-10-01 12:00:00,1984-10-03 12:00:00,Bafing Makana
275,1,1984-10-27 12:00:00,1984-10-30 12:00:00,Bafing Makana
276,1,1985-07-20 12:00:00,1985-07-23 12:00:00,Bafing Makana
277,1,1985-10-19 12:00:00,1985-10-20 12:00:00,Bafing Makana
278,1,1986-07-14 12:00:00,1986-07-19 12:00:00,Bafing Makana
279,1,1986-07-25 12:00:00,1986-07-27 12:00:00,Bafing Makana
280,1,1986-08-05 12:00:00,1986-08-06 12:00:00,Bafing Makana
281,1,1986-10-23 12:00:00,1986-10-26 12:00:00,Bafing Makana
282,1,1987-08-01 12:00:00,1987-08-02 12:00:00,Bafing Makana
283,1,1987-11-01 12:00:00,1987-11-03 12:00:00,Bafing Makana
284,1,1988-10-18 12:00:00,1988-10-24 12:00:00,Bafing Makana
285,1,1989-10-27 12:00:00,1989-10-31 12:00:00,Bafing Makana
286,1,1990-10-18 12:00:00,1990-10-23 12:00:00,Bafing Makana
287,1,1991-07-09 12:00:00,1991-07-10 12:00:00,Bafing Makana
288,1,1991-07-18 12:00:00,1991-07-19 12:00:00,Bafing Makana
289,1,1991-11-06 12:00:00,1991-11-08 12:00:00,Bafing Makana
290,1,1992-07-14 12:00:00,1992-07-15 12:00:00,Bafing Makana
291,1,1992-10-25 12:00:00,1992-10-29 12:00:00,Bafing Makana
292,1,1993-07-21 12:00:00,1993-07-22 12:00:00,Bafing Makana
293,1,1993-10-08 12:00:00,1993-10-10 12:00:00,Bafing Makana
294,1,1993-10-15 12:00:00,1993-10-24 12:00:00,Bafing Makana
295,1,1994-08-03 12:00:00,1994-08-04 12:00:00,Bafing Makana
296,1,1994-11-22 12:00:00,1994-11-26 12:00:00,Bafing Makana
297,1,1995-11-02 12:00:00,1995-11-07 12:00:00,Bafing Makana
298,1,1996-07-20 12:00:00,1996-07-23 12:00:00,Bafing Makana
299,1,1996-10-30 12:00:00,1996-11-02 12:00:00,Bafing Makana
300,1,1997-07-22 12:00:00,1997-07-27 12:00:00,Bafing Makana
301,1,1997-10-26 12:00:00,1997-10-30 12:00:00,Bafing Makana
302,1,1998-11-05 12:00:00,1998-11-06 12:00:00,Bafing Makana
303,1,1999-11-14 12:00:00,1999-11-18 12:00:00,Bafing Makana
304,1,1999-11-26 12:00:00,1999-11-30 12:00:00,Bafing Makana
305,1,2000-07-17 12:00:00,2000-07-20 12:00:00,Bafing Makana
306,1,2000-11-05 12:00:00,2000-11-08 12:00:00,Bafing Makana
307,1,2000-11-17 12:00:00,2000-11-19 12:00:00,Bafing Makana
308,1,2001-07-13 12:00:00,2001-07-14 12:00:00,Bafing Makana
309,1,2001-07-19 12:00:00,2001-07-20 12:00:00,Bafing Makana
310,1,2001-10-27 12:00:00,2001-11-10 12:00:00,Bafing Makana
311,1,2002-07-10 12:00:00,2002-07-11 12:00:00,Bafing Makana
312,1,2002-07-14 12:00:00,2002-07-18 12:00:00,Bafing Makana
313,1,2002-11-03 12:00:00,2002-11-09 12:00:00,Bafing Makana
314,1,2003-11-18 12:00:00,2003-11-24 12:00:00,Bafing Makana
315,1,2004-10-25 12:00:00,2004-11-03 12:00:00,Bafing Makana
316,1,2004-11-12 12:00:00,2004-11-16 12:00:00,Bafing Makana
317,1,2005-11-01 12:00:00,2005-11-02 12:00:00,Bafing Makana
318,1,2006-08-12 12:00:00,2006-08-13 12:00:00,Bafing Makana
319,1,2006-11-13 12:00:00,2006-11-14 12:00:00,Bafing Makana
320,1,2007-07-19 12:00:00,2007-07-20 12:00:00,Bafing Makana
321,1,2007-07-28 12:00:00,2007-07-29 12:00:00,Bafing Makana
322,1,2007-11-03 12:00:00,2007-11-09 12:00:00,Bafing Makana
323,1,2008-07-15 12:00:00,2008-07-16 12:00:00,Bafing Makana
324,1,2008-11-09 12:00:00,2008-11-12 12:00:00,Bafing Makana
325,1,2010-11-21 12:00:00,2010-11-22 12:00:00,Bafing Makana
326,1,2011-07-06 12:00:00,2011-07-11 12:00:00,Bafing Makana
327,1,2011-10-30 12:00:00,2011-11-03 12:00:00,Bafing Makana
328,1,2012-07-03 12:00:00,2012-07-04 12:00:00,Bafing Makana
329,1,2012-07-11 12:00:00,2012-07-14 12:00:00,Bafing Makana
330,1,2012-11-24 12:00:00,2012-11-27 12:00:00,Bafing Makana
331,1,2013-07-22 12:00:00,2013-07-26 12:00:00,Bafing Makana
332,1,2013-07-31 12:00:00,2013-08-02 12:00:00,Bafing Makana
333,1,2013-11-12 12:00:00,2013-11-13 12:00:00,Bafing Makana
334,1,2014-07-26 12:00:00,2014-07-28 12:00:00,Bafing Makana
335,1,2014-11-02 12:00:00,2014-11-04 12:00:00,Bafing Makana
336,1,2015-07-24 12:00:00,2015-07-26 12:00:00,Bafing Makana
337,1,2015-11-23 12:00:00,2015-11-28 12:00:00,Bafing Makana
338,1,2016-07-11 12:00:00,2016-07-16 12:00:00,Bafing Makana
339,1,2016-11-19 12:00:00,2016-11-22 12:00:00,Bafing Makana
340,1,2017-07-08 12:00:00,2017-07-09 12:00:00,Bafing Makana
341,1,2017-10-21 12:00:00,2017-10-24 12:00:00,Bafing Makana
342,1,2018-11-08 12:00:00,2018-11-13 12:00:00,Bafing Makana
343,1,1980-08-11 12:00:00,1980-09-23 12:00:00,Dibiya
344,1,1981-08-04 12:00:00,1981-08-08 12:00:00,Dibiya
345,1,1981-08-20 12:00:00,1981-08-31 12:00:00,Dibiya
346,1,1981-09-16 12:00:00,1981-09-25 12:00:00,Dibiya
347,1,1982-09-02 12:00:00,1982-09-13 12:00:00,Dibiya
348,1,1983-08-19 12:00:00,1983-08-25 12:00:00,Dibiya
349,1,1983-09-20 12:00:00,1983-09-24 12:00:00,Dibiya
350,1,1986-08-29 12:00:00,1986-09-29 12:00:00,Dibiya
351,1,1987-09-03 12:00:00,1987-09-07 12:00:00,Dibiya
352,1,1987-09-10 12:00:00,1987-09-11 12:00:00,Dibiya
353,1,1987-09-25 12:00:00,1987-09-26 12:00:00,Dibiya
354,1,1988-09-04 12:00:00,1988-09-24 12:00:00,Dibiya
355,1,1989-09-19 12:00:00,1989-09-26 12:00:00,Dibiya
356,1,1991-08-23 12:00:00,1991-08-26 12:00:00,Dibiya
357,1,1991-08-31 12:00:00,1991-09-08 12:00:00,Dibiya
358,1,1991-10-01 12:00:00,1991-10-07 12:00:00,Dibiya
359,1,1992-08-30 12:00:00,1992-09-19 12:00:00,Dibiya
360,1,1993-09-01 12:00:00,1993-09-19 12:00:00,Dibiya
361,1,1994-08-21 12:00:00,1994-09-14 12:00:00,Dibiya
362,1,1994-09-18 12:00:00,1994-09-22 12:00:00,Dibiya
363,1,1994-10-29 12:00:00,1995-01-05 12:00:00,Dibiya
364,1,1995-08-16 12:00:00,1995-08-19 12:00:00,Dibiya
365,1,1995-08-23 12:00:00,1995-09-22 12:00:00,Dibiya
366,1,1996-08-29 12:00:00,1996-09-02 12:00:00,Dibiya
367,1,1996-09-21 12:00:00,1996-09-23 12:00:00,Dibiya
368,1,1998-08-27 12:00:00,1998-09-09 12:00:00,Dibiya
369,1,1998-10-01 12:00:00,1998-10-08 12:00:00,Dibiya
370,1,1999-09-08 12:00:00,1999-09-10 12:00:00,Dibiya
371,1,1999-10-03 12:00:00,1999-10-27 12:00:00,Dibiya
372,1,2000-09-02 12:00:00,2000-09-10 12:00:00,Dibiya
373,1,2000-09-14 12:00:00,2000-09-20 12:00:00,Dibiya
374,1,2001-08-27 12:00:00,2001-09-04 12:00:00,Dibiya
375,1,2001-09-07 12:00:00,2001-09-08 12:00:00,Dibiya
376,1,2003-10-06 12:00:00,2003-10-07 12:00:00,Dibiya
377,1,1980-08-12 12:00:00,1980-08-19 12:00:00,Kayes
378,1,1980-09-02 12:00:00,1980-09-18 12:00:00,Kayes
379,1,1981-08-02 12:00:00,1981-08-26 12:00:00,Kayes
380,1,1981-09-01 12:00:00,1981-09-05 12:00:00,Kayes
