,flood_start,flood_end,Pays,Région,Cercle,Commune,Quartier/Villages
331,2012-08-19,2012-08-19,,SEGOU,BLA,FANI,
332,2012-08-19,2012-08-19,,SEGOU,BLA,BLA,
333,2012-08-15,2012-08-15,,SIKASSO,YOROSSO,YOROSSO,
334,2012-08-14,2012-08-14,,SIKASSO,YOROSSO,MENAMBA1,
335,2012-08-14,2012-08-14,,SEGOU,BARAOUELI,SANANDO,
336,2012-08-14,2012-08-14,,KAYES,KAYES,HAWA-DEMB,
337,2012-08-14,2012-08-14,,SEGOU,BARAOUELI,GOUENDO,
338,2012-08-14,2012-08-14,,KAYES,KAYES,KEMENE-TA,
339,2012-08-14,2012-08-14,,SIKASSO,KOUTIALA,SOROBASSO,
340,2012-08-11,2012-08-11,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
341,2012-08-09,2012-08-09,,KAYES,BAFOULABE,BAMAFELE,
342,2012-08-09,2012-08-09,,KAYES,BAFOULABE,MAHINA,
343,2012-08-09,2012-08-09,,KAYES,BAFOULABE,DIOKELI,
344,2012-08-08,2012-08-08,,KAYES,KENIEBA,SITAKILY,
345,2012-08-08,2012-08-08,,MOPTI,DJENNE,MADIAMA,
346,2012-08-08,2012-08-08,,MOPTI,DJENNE,DANDOUDOU,
347,2012-08-07,2012-08-07,,SEGOU,SEGOU,CINZANA,
348,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,YASSO,
349,2012-08-07,2012-08-07,,SEGOU,SEGOU,FATINE,
350,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,OUAN,
351,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,TIMISSA,
352,2012-08-07,2012-08-07,,GAO,MENAKA,MENAKA,
353,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,MAFOUNE,
354,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,TOMINIAN,
355,2012-08-07,2012-08-07,,SIKASSO,YANFOLILA,TAGANDOUG,
356,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,SANEKUY,
357,2012-08-07,2012-08-07,,SEGOU,TOMINIAN,FANGASSO,
358,2012-08-03,2012-08-03,,KAYES,NIORO,NIORO-COM,
359,2012-08-03,2012-08-03,,SEGOU,SEGOU,KATIENA,
360,2012-08-01,2012-08-01,,KAYES,KITA,KOKOFATA,
361,2012-07-25,2012-07-25,,KAYES,DIEMA,LAKAMANE,
362,2012-07-25,2012-07-25,,KAYES,DIEMA,SANSANKID,
363,2012-07-23,2012-07-23,,SIKASSO,BOUGOUNI,BOUGOUNI-,
364,2012-07-22,2012-08-05,Mali,,,,
365,2012-07-22,2012-07-22,,KAYES,DIEMA,DIEMA,
366,2012-07-19,2012-07-19,,SIKASSO,SIKASSO,KOUROUMA,
367,2012-07-13,2012-07-13,,KAYES,YELIMANE,FANGA,
368,2012-07-12,2012-07-12,,KOULIKORO,NARA,DILLY,
369,2012-07-06,2012-07-06,,SIKASSO,SIKASSO,KOUROUMA,
370,2012-07-06,2012-07-06,,SIKASSO,KOLONDIEB,KADIANA,
371,2012-06-24,2012-06-24,,KAYES,BAFOULABE,DIAKON,
372,2012-06-02,2012-06-02,,KAYES,KAYES,BANGASSI,
373,2012-06-02,2012-06-02,,KAYES,KAYES,KONIAKARY,
374,2012-06-02,2012-06-02,,KAYES,KAYES,KHOULOUM,
375,2012-05-14,2012-05-14,,KOULIKORO,BANAMBA,BANAMBA,
376,2012-05-14,2012-05-14,,KOULIKORO,BANAMBA,BORON,
377,2011-08-31,2011-08-31,,KAYES,KAYES,FEGUI,
378,2011-08-30,2011-08-30,,KAYES,KAYES,KAYES-COM,
379,2011-08-22,2011-08-22,,KOULIKORO,DIOILA,N'GOLOBOU,
380,2011-08-22,2011-08-22,,KOULIKORO,DIOILA,BANCO,
381,2011-08-21,2011-08-21,,KOULIKORO,KANGABA,MINIDIAN,
382,2011-08-20,2011-08-20,,TOMBOUCTO,GOURMA-RH,GOSSI,
383,2011-08-19,2011-08-19,,KOULIKORO,KATI,BANCOUMAN,
384,2011-08-19,2011-08-19,,KOULIKORO,KANGABA,BALAN-BAK,
385,2011-08-10,2011-08-10,,KOULIKORO,KATI,BANCOUMAN,
386,2011-08-10,2011-08-10,,KOULIKORO,KANGABA,MINIDIAN,
387,2011-08-10,2011-08-10,,KOULIKORO,KANGABA,NARENA,
388,2011-08-01,2011-08-15,Mali,TOMBOUCTOU,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
389,2011-08-01,2011-08-15,Mali,MOPTI,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
390,2011-08-01,2011-08-15,Mali,KIDAL,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
391,2011-08-01,2011-08-15,Mali,KAYES,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
392,2011-08-01,2011-08-15,Mali,KOULIKORO,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
393,2011-07-26,2011-07-26,,MOPTI,DOUENTZA,DOUENTZA,
394,2011-07-18,2011-07-18,,GAO,BOUREM,BOUREM,
395,2011-07-15,2011-07-15,,TOMBOUCTO,GOUNDAM,GOUNDAM,
396,2011-07-01,2011-07-15,Mali,TOMBOUCTOU,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
397,2011-07-01,2011-07-15,Mali,MOPTI,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
398,2011-07-01,2011-07-15,Mali,KIDAL,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
399,2011-07-01,2011-07-15,Mali,KAYES,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
400,2011-07-01,2011-07-15,Mali,KOULIKORO,,,"Goudam, Gossi, Sana, Kidal ville, Diboly, Kangaba"
401,2011-03-28,2011-03-28,,TOMBOUCTO,GOUNDAM,DOUEKIRE,
402,2011-03-21,2011-03-21,,TOMBOUCTO,GOUNDAM,ADARMALAN,
403,2010-11-18,2010-11-18,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
404,2010-11-17,2010-11-17,,MOPTI,DOUENTZA,DOUENTZA,
405,2010-11-09,2010-11-09,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
406,2010-10-10,2010-10-10,,SIKASSO,SIKASSO,KOUORO,
407,2010-10-04,2010-10-05,Mali,KAYES,,,
408,2010-10-04,2010-10-05,Mali,KOULIKORO,,,
409,2010-10-04,2010-10-05,Mali,SEGOU,,,
410,2010-10-04,2010-10-05,Mali,SIKASSO,,,
411,2010-10-04,2010-10-05,Mali,MOPTI,,,
412,2010-10-04,2010-10-05,Mali,TOMBOUCTOU,,,
413,2010-10-04,2010-10-05,Mali,GAO,,,
414,2010-10-04,2010-10-05,Mali,KIDAL,,,
415,2010-10-04,2010-10-05,Mali,BAMAKO,,,
416,2010-09-28,2010-09-28,,SEGOU,MACINA,KOLONGO,
417,2010-09-26,2010-09-26,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
418,2010-09-24,2010-09-24,,SEGOU,BLA,KORODOUGO,
419,2010-09-24,2010-09-24,,SEGOU,NIONO,NIONO,
420,2010-09-21,2010-09-21,,KAYES,BAFOULABE,KONTELA,
421,2010-09-20,2010-09-20,,SEGOU,BLA,KAZANGASS,
422,2010-09-20,2010-09-20,,SEGOU,BLA,YANGASSO,
423,2010-09-20,2010-09-20,,SEGOU,TOMINIAN,TOMINIAN,
424,2010-09-20,2010-09-20,,MOPTI,MOPTI,MOPTI-COM,
425,2010-09-19,2010-09-19,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
426,2010-09-18,2010-09-18,,KOULIKORO,KATI,KALABANCO,
427,2010-09-18,2010-09-18,,MOPTI,MOPTI,KOUNARI,
428,2010-09-18,2010-09-18,,TOMBOUCTO,NIAFUNKE,SOUMPI,
429,2010-09-17,2010-09-17,,SEGOU,BLA,KORODOUGO,
430,2010-09-17,2010-09-17,,SEGOU,BLA,YANGASSO,
431,2010-09-16,2010-09-16,,SEGOU,BLA,FANI,
432,2010-09-15,2010-09-15,,SEGOU,TOMINIAN,YASSO,
433,2010-09-15,2010-09-15,,SEGOU,BLA,YANGASSO,
434,2010-09-15,2010-09-15,,SEGOU,BARAOUELI,SANANDO,
435,2010-09-14,2010-09-14,,KAYES,KAYES,FALEME,
436,2010-09-14,2010-09-14,,SEGOU,SAN,SAN-COMMU,
437,2010-09-14,2010-09-14,,SEGOU,MACINA,KOLONGO,
438,2010-09-13,2010-09-13,,SEGOU,NIONO,NIONO,
439,2010-09-13,2010-09-13,,SEGOU,NIONO,DIABALY,
440,2010-09-13,2010-09-13,,SEGOU,NIONO,MARIKO,
441,2010-09-13,2010-09-13,,SEGOU,NIONO,SOKOLO,
442,2010-09-13,2010-09-13,,SEGOU,NIONO,DOGOFRY,
443,2010-09-12,2010-09-12,,KAYES,KITA,KOKOFATA,
444,2010-09-12,2010-09-12,,KAYES,KAYES,FEGUI,
445,2010-09-12,2010-09-12,,KAYES,NIORO,,
446,2010-09-12,2010-09-12,,KAYES,KENIEBA,KROUKOTO,
447,2010-09-12,2010-09-12,,KAYES,KITA,KITA-OUES,
448,2010-09-12,2010-09-12,,KAYES,YELIMANE,GORY,
449,2010-09-12,2010-09-12,,KAYES,YELIMANE,GUIDIME,
450,2010-09-12,2010-09-12,,KAYES,BAFOULABE,MAHINA,
451,2010-09-12,2010-09-12,,KAYES,KENIEBA,DABIA,
452,2010-09-11,2010-09-11,,SEGOU,MACINA,FOLOMANA,
453,2010-09-11,2010-09-11,,SEGOU,MACINA,TONGUE,
454,2010-09-11,2010-09-11,,KOULIKORO,KOULIKORO,KOULIKORO,
455,2010-09-09,2010-09-09,,MOPTI,MOPTI,MOPTI-COM,
456,2010-09-09,2010-09-09,,SEGOU,SEGOU,SAMINE,
457,2010-09-09,2010-09-09,,SIKASSO,BOUGOUNI,SANSO,
458,2010-09-09,2010-09-09,,KOULIKORO,NARA,NIAMANA,
459,2010-09-09,2010-09-09,,KOULIKORO,NARA,OUAGADOU,
460,2010-09-09,2010-09-09,,SIKASSO,BOUGOUNI,ZANTIEBOU,
461,2010-09-08,2010-09-08,,SEGOU,TOMINIAN,TOMINIAN,
462,2010-09-06,2010-09-06,,SEGOU,SAN,DAH,
463,2010-09-06,2010-09-06,,KOULIKORO,KOULIKORO,KOULA,
464,2010-09-06,2010-09-06,,SEGOU,SAN,TENE,
465,2010-09-06,2010-09-06,,SEGOU,SAN,SAN-COMMU,
466,2010-09-05,2010-09-05,,KAYES,BAFOULABE,KOUNDIAN,
467,2010-09-05,2010-09-05,,SIKASSO,SIKASSO,SIKASSO-C,
468,2010-09-04,2010-09-04,,KOULIKORO,KANGABA,MARAMANDO,
469,2010-09-03,2010-09-03,,SIKASSO,KOUTIALA,KONINGUE,
470,2010-09-03,2010-09-03,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
471,2010-09-03,2010-09-03,,SIKASSO,KOUTIALA,SONGO-DOU,
472,2010-09-03,2010-09-03,,MOPTI,KORO,DINANGOUR,
473,2010-09-03,2010-09-03,,KOULIKORO,KATI,KALABANCO,
474,2010-09-01,2010-09-01,,SEGOU,BARAOUELI,SANANDO,
475,2010-09-01,2010-09-01,,KOULIKORO,KATI,N'GABACOR,
476,2010-09-01,2010-09-01,,TOMBOUCTO,TOMBOUCTO,TOMBOUCTO,
477,2010-09-01,2010-09-01,,SEGOU,BARAOUELI,KONOBOUGO,
478,2010-09-01,2010-09-01,,SIKASSO,KOUTIALA,KOUTIALA-,
479,2010-09-01,2010-09-01,,KOULIKORO,KOLOKANI,KOLOKANI,
480,2010-08-31,2010-08-31,,TOMBOUCTO,GOUNDAM,ISSA-BERY,
481,2010-08-30,2010-08-30,,KOULIKORO,NARA,FALLOU,
482,2010-08-29,2010-08-29,,SEGOU,NIONO,SOKOLO,
483,2010-08-29,2010-08-29,,SEGOU,NIONO,NAMPALARI,
484,2010-08-28,2010-08-28,,GAO,GAO,GAO,
485,2010-08-28,2010-08-28,,GAO,ANSONGO,ANSONGO,
486,2010-08-27,2010-08-27,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
487,2010-08-24,2010-08-24,,KOULIKORO,BANAMBA,TOUBACORO,
488,2010-08-23,2010-08-23,,SEGOU,BARAOUELI,SANANDO,
489,2010-08-21,2010-08-21,,KAYES,BAFOULABE,KOUNDIAN,
490,2010-08-21,2010-08-21,,SEGOU,BARAOUELI,TESSERLA,
491,2010-08-18,2010-08-18,,SEGOU,SEGOU,SIBILA,
492,2010-08-15,2010-08-15,,SEGOU,BARAOUELI,SANANDO,
493,2010-08-14,2010-08-14,,SEGOU,BARAOUELI,SANANDO,
494,2010-08-13,2010-08-13,,KAYES,KAYES,LIBERTE-D,
495,2010-08-13,2010-08-13,,MOPTI,KORO,DOUGOUTEN,
496,2010-08-13,2010-08-13,,SIKASSO,KOUTIALA,KOUTIALA-,
497,2010-08-13,2010-08-13,,MOPTI,BANKASS,BANKASS,
498,2010-08-13,2010-08-13,,SEGOU,BARAOUELI,SANANDO,
499,2010-08-12,2010-08-12,,MOPTI,BANDIAGAR,BANDIAGAR,
500,2010-08-11,2010-08-12,Mali,TOMBOUCTOU,TOMBOUCTOU,,
501,2010-08-11,2010-08-11,,SIKASSO,KOUTIALA,KAFO-FABO,
502,2010-08-11,2010-08-11,,SEGOU,SEGOU,SANSANDIN,
503,2010-08-08,2010-08-08,,SEGOU,BLA,KORODOUGO,
504,2010-08-08,2010-08-08,,SEGOU,MACINA,MONIMPEBO,
505,2010-08-06,2010-08-06,,TOMBOUCTO,TOMBOUCTO,SALAM,
506,2010-08-04,2010-08-04,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
507,2010-08-01,2010-08-01,,KOULIKORO,KATI,N'GABACOR,
508,2010-08-01,2010-08-01,,KIDAL,KIDAL,KIDAL,
509,2010-08-01,2010-08-01,,MOPTI,BANKASS,BANKASS,
510,2010-08-01,2010-08-01,,GAO,GAO,GAO,
511,2010-08-01,2010-08-01,,SIKASSO,KOUTIALA,M'PESSOBA,
512,2010-08-01,2010-08-01,,KIDAL,TESSALIT,TESSALIT,
513,2010-08-01,2010-08-01,,TOMBOUCTO,TOMBOUCTO,BER,
514,2010-08-01,2010-08-01,,SEGOU,NIONO,SOKOLO,
515,2010-08-01,2010-08-01,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
516,2010-07-27,2010-07-27,,KOULIKORO,KATI,MORIBABOU,
517,2010-07-23,2010-07-23,,KOULIKORO,DIOILA,GUEGNEKA,
518,2010-07-23,2010-07-23,,SEGOU,BARAOUELI,TAMANI,
519,2010-07-23,2010-07-23,,SEGOU,SEGOU,SANSANDIN,
520,2010-07-23,2010-07-23,,SEGOU,BARAOUELI,BOIDIE,
521,2010-07-22,2010-07-22,,TOMBOUCTO,GOURMA-RH,GOSSI,
522,2010-07-22,2010-07-22,,MOPTI,DOUENTZA,HOMBORI,
523,2010-07-21,2010-07-21,,TOMBOUCTO,TOMBOUCTO,BER,
524,2010-07-20,2010-07-20,,GAO,GAO,GAO,
525,2010-07-19,2010-07-19,,KOULIKORO,DIOILA,GUEGNEKA,
526,2010-07-19,2010-07-19,,KOULIKORO,DIOILA,ZAN-COULI,
527,2010-07-16,2010-07-16,,KIDAL,TESSALIT,ADJELHOC,
528,2010-07-12,2010-07-12,,TOMBOUCTOU,TOMBOUCTOU,,
529,2010-07-11,2010-07-11,,TOMBOUCTO,TOMBOUCTO,TOMBOUCTO,
530,2010-07-11,2010-07-11,,SEGOU,SEGOU,PELENGANA,
531,2010-07-11,2010-07-11,,SEGOU,SEGOU,SEGOU-COM,
532,2010-07-11,2010-07-11,,SEGOU,SEGOU,SANSANDIN,
533,2010-07-11,2010-07-11,,SEGOU,SEGOU,SEBOUGOU,
534,2010-07-09,2010-07-09,,KOULIKORO,DIOILA,GUEGNEKA,
535,2010-07-08,2010-07-08,,SEGOU,BARAOUELI,KONOBOUGO,
536,2010-07-02,2010-07-02,,TOMBOUCTO,GOURMA-RH,INADIATAF,
537,2010-07-02,2010-07-02,,KOULIKORO,BANAMBA,BORON,
538,2010-07-01,2010-07-01,,KOULIKORO,BANAMBA,TOUBACORO,
539,2010-06-27,2010-06-27,,SEGOU,SEGOU,SEGOU-COM,
540,2010-06-27,2010-06-27,,SEGOU,SEGOU,SEBOUGOU,
541,2010-06-25,2010-06-25,,SEGOU,MACINA,MACINA,
542,2010-06-24,2010-06-24,,SIKASSO,YANFOLILA,BAYA,
543,2010-06-14,2010-06-14,,GAO,GAO,ANCHAWADI,
544,2010-06-10,2010-06-10,,KAYES,BAFOULABE,BAFOULABE,
545,2010-06-10,2010-06-10,,SEGOU,SAN,DIELI,
546,2010-06-09,2010-06-09,,MOPTI,DOUENTZA,DJAPTODJI,
547,2010-06-09,2010-06-09,,MOPTI,MOPTI,MOPTI-COM,
548,2010-06-01,2010-06-01,,MOPTI,TENENKOU,TENENKOU,
549,2010-05-17,2010-05-17,,KOULIKORO,KOULIKORO,MEGUETAN,
550,2010-05-08,2010-05-08,,KOULIKORO,KOLOKANI,,
551,2010-05-08,2010-05-08,,KAYES,BAFOULABE,MAHINA,
552,2010-05-07,2010-05-07,,KOULIKORO,KOLOKANI,OUOLODO,
553,2010-05-07,2010-05-07,,KOULIKORO,KOLOKANI,MASSANTOL,
554,2010-05-07,2010-05-07,,KOULIKORO,DIOILA,ZAN-COULI,
555,2010-04-19,2010-04-19,,SIKASSO,SIKASSO,KIGNAN,
556,2010-04-04,2010-04-04,,KAYES,KAYES,,
557,2009-10-31,2009-10-31,,MOPTI,DJENNE,DJENNE,
558,2009-10-25,2009-10-25,,TOMBOUCTO,TOMBOUCTO,TOMBOUCTO,
559,2009-09-20,2009-09-20,,SEGOU,TOMINIAN,TOMINIAN,
560,2009-09-18,2009-09-18,,SEGOU,MACINA,MACINA,
561,2009-09-18,2009-09-18,,KOULIKORO,KOULIKORO,DINANDOUG,
562,2009-09-18,2009-09-18,,KOULIKORO,KATI,OUELESSEB,
563,2009-09-13,2009-09-13,,SEGOU,MACINA,MACINA,
564,2009-09-13,2009-09-13,,SEGOU,NIONO,SIRIFILA-,
565,2009-09-13,2009-09-13,,SEGOU,TOMINIAN,SANEKUY,
566,2009-09-12,2009-09-12,,SEGOU,TOMINIAN,TIMISSA,
567,2009-09-08,2009-09-08,,SEGOU,SEGOU,BELLEN,
568,2009-09-08,2009-09-08,,SEGOU,SEGOU,DIORO,
569,2009-09-08,2009-09-08,,SEGOU,SEGOU,SEGOU-COM,
570,2009-09-07,2009-09-08,Mali,,,,
571,2009-09-07,2009-09-07,,SEGOU,BLA,BLA,
572,2009-09-07,2009-09-07,,SEGOU,SEGOU,N'KOUMAND,
573,2009-09-07,2009-09-07,,SEGOU,NIONO,POGO,
574,2009-09-07,2009-09-07,,SEGOU,BLA,FALO,
575,2009-09-07,2009-09-07,,SEGOU,SEGOU,PELENGANA,
576,2009-09-07,2009-09-07,,SEGOU,BLA,TIEMENA,
577,2009-09-07,2009-09-07,,SEGOU,BLA,TOUNA,
578,2009-09-07,2009-09-07,,SEGOU,BLA,NIALA,
579,2009-09-05,2009-09-05,,KAYES,KAYES,SADIOLA,
580,2009-09-05,2009-09-05,,KAYES,KITA,MAKANO,
581,2009-09-05,2009-09-05,,KAYES,KITA,KOTOUBA,
582,2009-09-05,2009-09-05,,KAYES,BAFOULABE,DIAKON,
583,2009-09-04,2009-09-04,,KAYES,KITA,SEBEKORO,
584,2009-09-03,2009-09-03,,SEGOU,MACINA,KOLONGO,
585,2009-09-02,2009-09-02,,KOULIKORO,KOULIKORO,TIENFALA,
586,2009-09-02,2009-09-02,,KOULIKORO,KOULIKORO,TOUGOUNI,
587,2009-09-02,2009-09-02,,KOULIKORO,BANAMBA,MADINA-SA,
588,2009-09-02,2009-09-02,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
589,2009-09-02,2009-09-02,,KOULIKORO,KOULIKORO,KOULIKORO,
590,2009-09-02,2009-09-02,,KOULIKORO,BANAMBA,TOUKOROBA,
591,2009-09-02,2009-09-02,,KOULIKORO,KANGABA,KARAN,
592,2009-09-02,2009-09-02,,GAO,GAO,GAO,
593,2009-09-02,2009-09-02,,KOULIKORO,KOULIKORO,SIRAKOROL,
594,2009-09-02,2009-09-02,,KOULIKORO,KOLOKANI,KOLOKANI,
595,2009-09-01,2009-09-01,,MOPTI,DOUENTZA,HOMBORI,
596,2009-09-01,2009-09-01,,MOPTI,MOPTI,KOUNARI,
597,2009-09-01,2009-09-01,,SEGOU,TOMINIAN,TOMINIAN,
598,2009-09-01,2009-09-01,,SEGOU,SAN,TENENI,
599,2009-08-31,2009-08-31,,SEGOU,NIONO,MARIKO,
600,2009-08-30,2009-08-30,,SEGOU,NIONO,NIONO,
601,2009-08-30,2009-08-30,,SEGOU,NIONO,YEREDON-S,
602,2009-08-27,2009-08-27,,KAYES,NIORO,SANDARE,
603,2009-08-27,2009-08-27,,KAYES,NIORO,SIMBI,
604,2009-08-26,2009-08-26,,TOMBOUCTO,GOURMA-RH,RHAROUS,
605,2009-08-25,2009-08-25,,KAYES,NIORO,YERERE,
606,2009-08-25,2009-08-25,,TOMBOUCTO,TOMBOUCTO,SALAM,
607,2009-08-25,2009-08-25,,TOMBOUCTO,NIAFUNKE,,
608,2009-08-24,2009-08-24,,SIKASSO,SIKASSO,LOBOUGOUL,
609,2009-08-24,2009-08-24,,SIKASSO,YANFOLILA,WASSOULOU,
610,2009-08-21,2009-08-21,,SIKASSO,KOUTIALA,,
611,2009-08-15,2009-08-15,,,,MASSALA,
612,2009-08-15,2009-08-15,,KAYES,NIORO,NIORO-COM,
613,2009-08-12,2009-08-12,,KOULIKORO,KOULIKORO,KOULIKORO,
614,2009-08-07,2009-08-07,,KAYES,KITA,BENDOUGOU,
615,2009-08-06,2009-08-06,,MOPTI,DOUENTZA,DALLAH,
616,2009-08-05,2009-08-05,,GAO,BOUREM,TARKINT,
617,2009-07-29,2009-07-29,,SEGOU,SEGOU,MASSALA,
618,2009-07-27,2009-07-27,,MOPTI,DJENNE,DANDOUDOU,
619,2009-07-25,2009-07-25,,SEGOU,BLA,TOUNA,
620,2009-06-18,2009-06-18,,SIKASSO,SIKASSO,LOBOUGOUL,
621,2009-06-11,2009-06-11,,KAYES,KITA,TOUKOTO,
622,2009-06-11,2009-06-11,,KAYES,KITA,KOUROUNIK,
623,2009-06-08,2009-06-08,,KAYES,KITA,KOKOFATA,
624,2009-06-04,2009-06-04,,GAO,ANSONGO,TALATAYE,
625,2009-05-23,2009-05-23,,KAYES,KITA,KITA-NORD,
626,2009-05-16,2009-05-16,,KAYES,KITA,DJIDIAN,
627,2009-05-09,2009-05-09,,KAYES,KITA,TAMBAGA,
628,2009-05-01,2009-05-15,Mali,KAYES,,,
629,2009-05-01,2009-05-15,Mali,BAMAKO,,,
630,2009-05-01,2009-05-15,Mali,KOULIKORO,,,
631,2009-05-01,2009-05-15,Mali,SIKASSO,,,
632,2009-05-01,2009-05-15,Mali,SEGOU,,,
633,2009-05-01,2009-05-15,Mali,MOPTI,,,
634,2009-05-01,2009-05-15,Mali,TOMBOUCTOU,,,
635,2009-05-01,2009-05-15,Mali,GAO,,,
636,2009-04-01,2009-04-15,Mali,KAYES,,,
637,2009-04-01,2009-04-15,Mali,BAMAKO,,,
638,2009-04-01,2009-04-15,Mali,KOULIKORO,,,
639,2009-04-01,2009-04-15,Mali,SIKASSO,,,
640,2009-04-01,2009-04-15,Mali,SEGOU,,,
641,2009-04-01,2009-04-15,Mali,MOPTI,,,
642,2009-04-01,2009-04-15,Mali,TOMBOUCTOU,,,
643,2009-04-01,2009-04-15,Mali,GAO,,,
644,2008-08-19,2008-08-19,,SEGOU,BLA,YANGASSO,
645,2008-08-18,2008-08-19,Mali,KAYES,KAYES,,"Diancouté, Camara, Lambidou, Fatao "
646,2008-08-18,2008-08-18,,GAO,GAO,GAO,
647,2008-08-02,2008-08-02,,SEGOU,SEGOU,,
648,2008-07-25,2008-07-25,,TOMBOUCTO,DIRE,DIRE,
649,2008-07-19,2008-07-19,,SEGOU,BLA,TOUNA,
650,2008-07-19,2008-07-19,,SEGOU,MACINA,TONGUE,
651,2008-06-25,2008-06-25,,MOPTI,MOPTI,SOCOURA,
652,2008-06-17,2008-06-17,,SIKASSO,KADIOLO,LOULOUNI,
653,2007-09-10,2007-09-10,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
654,2007-09-08,2007-09-08,,SIKASSO,BOUGOUNI,DOGO,
655,2007-09-06,2007-09-06,,SIKASSO,KADIOLO,ZEGOUA,
656,2007-09-05,2007-09-05,,SIKASSO,SIKASSO,SIKASSO-C,
657,2007-08-31,2007-08-31,,KOULIKORO,KANGABA,BENKADI,
658,2007-08-31,2007-08-31,,KOULIKORO,DIOILA,NANGOLA,
659,2007-08-31,2007-08-31,,KOULIKORO,BANAMBA,TOUBACORO,
660,2007-08-31,2007-08-31,,KOULIKORO,DIOILA,WACORO,
661,2007-08-31,2007-08-31,,KOULIKORO,BANAMBA,SEBETE,
662,2007-08-30,2007-08-30,,KAYES,KAYES,SADIOLA,
663,2007-08-28,2007-08-28,,SEGOU,BARAOUELI,KONOBOUGO,
664,2007-08-27,2007-08-27,,KAYES,KITA,KITA-OUES,
665,2007-08-27,2007-08-27,,KAYES,KITA,KITA-NORD,
666,2007-08-27,2007-08-27,,KAYES,KITA,SOURANSAN,
667,2007-08-27,2007-08-27,,KAYES,KITA,TOUKOTO,
668,2007-08-27,2007-08-27,,KAYES,KITA,KOKOFATA,
669,2007-08-27,2007-08-27,,KAYES,KITA,BENKADI-F,
670,2007-08-27,2007-08-27,,KAYES,KITA,BADIA,
671,2007-08-27,2007-08-27,,KAYES,KITA,KOUROUNIK,
672,2007-08-27,2007-08-27,,KAYES,KITA,KITA-COMM,
673,2007-08-24,2007-08-24,,KOULIKORO,KATI,SANANKORO,
674,2007-08-24,2007-08-24,,SIKASSO,YOROSSO,BOURA,
675,2007-08-22,2007-08-22,,SIKASSO,SIKASSO,KLELA,
676,2007-08-15,2007-08-15,,KAYES,KAYES,KONIAKARY,
677,2007-08-15,2007-08-15,,KAYES,BAFOULABE,BAMAFELE,
678,2007-08-15,2007-08-15,,KAYES,YELIMANE,DIAFOUNOU,
679,2007-08-09,2007-08-09,,SIKASSO,YANFOLILA,DJIGUIYA-,
680,2007-08-06,2007-08-06,,KOULIKORO,BANAMBA,BORON,
681,2007-08-05,2007-08-05,,SEGOU,NIONO,NIONO,
682,2007-07-26,2007-07-26,,SEGOU,SEGOU,PELENGANA,
683,2007-07-26,2007-07-26,,SEGOU,SEGOU,SAKOIBA,
684,2007-07-22,2007-07-23,Mali,SEGOU,BLA,BLA,
685,2007-07-22,2007-07-22,,SIKASSO,YOROSSO,YOROSSO,
686,2007-07-16,2007-07-16,,KAYES,KAYES,KAYES-COM,
687,2007-07-14,2007-07-14,,SEGOU,NIONO,NIONO,
688,2007-07-09,2007-07-09,,SIKASSO,YOROSSO,YOROSSO,
689,2007-07-08,2007-07-08,,SEGOU,SAN,KAVA,
690,2007-07-08,2007-07-08,,SEGOU,SAN,KASSOROLA,
691,2007-07-07,2007-07-07,,MOPTI,DOUENTZA,DANGOL-BO,
692,2007-07-04,2007-07-18,Mali,SEGOU,,,
693,2007-07-04,2007-07-18,Mali,KAYES,,,
694,2007-07-04,2007-07-18,Mali,SIKASSO,,,
695,2007-07-04,2007-07-18,Mali,KOULIKORO,,,
696,2007-07-04,2007-07-18,Mali,GAO,,,
697,2007-07-04,2007-07-18,Mali,MOPTI,BANDIAGAR,BARA-SARA,
698,2007-07-04,2007-07-04,,MOPTI,MOPTI,MOPTI-COM,
