,flood_start,flood_end,Cercle,duration
340,2012-08-11,2012-08-11,DISTRICT,1
341,2012-08-09,2012-08-09,BAFOULABE,1
342,2012-08-09,2012-08-09,BAFOULABE,1
343,2012-08-09,2012-08-09,BAFOULABE,1
344,2012-08-08,2012-08-08,KENIEBA,1
345,2012-08-08,2012-08-08,DJENNE,1
346,2012-08-08,2012-08-08,DJENNE,1
347,2012-08-07,2012-08-07,SEGOU,1
348,2012-08-07,2012-08-07,TOMINIAN,1
349,2012-08-07,2012-08-07,SEGOU,1
350,2012-08-07,2012-08-07,TOMINIAN,1
351,2012-08-07,2012-08-07,TOMINIAN,1
352,2012-08-07,2012-08-07,MENAKA,1
353,2012-08-07,2012-08-07,TOMINIAN,1
354,2012-08-07,2012-08-07,TOMINIAN,1
355,2012-08-07,2012-08-07,YANFOLILA,1
356,2012-08-07,2012-08-07,TOMINIAN,1
357,2012-08-07,2012-08-07,TOMINIAN,1
358,2012-08-03,2012-08-03,NIORO,1
359,2012-08-03,2012-08-03,SEGOU,1
360,2012-08-01,2012-08-01,KITA,1
361,2012-07-25,2012-07-25,DIEMA,1
362,2012-07-25,2012-07-25,DIEMA,1
363,2012-07-23,2012-07-23,BOUGOUNI,1
365,2012-07-22,2012-07-22,DIEMA,1
366,2012-07-19,2012-07-19,SIKASSO,1
367,2012-07-13,2012-07-13,YELIMANE,1
368,2012-07-12,2012-07-12,NARA,1
369,2012-07-06,2012-07-06,SIKASSO,1
370,2012-07-06,2012-07-06,KOLONDIEB,1
371,2012-06-24,2012-06-24,BAFOULABE,1
372,2012-06-02,2012-06-02,KAYES,1
373,2012-06-02,2012-06-02,KAYES,1
374,2012-06-02,2012-06-02,KAYES,1
375,2012-05-14,2012-05-14,BANAMBA,1
376,2012-05-14,2012-05-14,BANAMBA,1
377,2011-08-31,2011-08-31,KAYES,1
378,2011-08-30,2011-08-30,KAYES,1
379,2011-08-22,2011-08-22,DIOILA,1
380,2011-08-22,2011-08-22,DIOILA,1
381,2011-08-21,2011-08-21,KANGABA,1
382,2011-08-20,2011-08-20,GOURMA-RH,1
383,2011-08-19,2011-08-19,KATI,1
384,2011-08-19,2011-08-19,KANGABA,1
385,2011-08-10,2011-08-10,KATI,1
386,2011-08-10,2011-08-10,KANGABA,1
387,2011-08-10,2011-08-10,KANGABA,1
393,2011-07-26,2011-07-26,DOUENTZA,1
394,2011-07-18,2011-07-18,BOUREM,1
395,2011-07-15,2011-07-15,GOUNDAM,1
401,2011-03-28,2011-03-28,GOUNDAM,1
402,2011-03-21,2011-03-21,GOUNDAM,1
403,2010-11-18,2010-11-18,DISTRICT,1
404,2010-11-17,2010-11-17,DOUENTZA,1
405,2010-11-09,2010-11-09,DISTRICT,1
406,2010-10-10,2010-10-10,SIKASSO,1
416,2010-09-28,2010-09-28,MACINA,1
417,2010-09-26,2010-09-26,DISTRICT,1
418,2010-09-24,2010-09-24,BLA,1
419,2010-09-24,2010-09-24,NIONO,1
420,2010-09-21,2010-09-21,BAFOULABE,1
421,2010-09-20,2010-09-20,BLA,1
422,2010-09-20,2010-09-20,BLA,1
423,2010-09-20,2010-09-20,TOMINIAN,1
424,2010-09-20,2010-09-20,MOPTI,1
425,2010-09-19,2010-09-19,DISTRICT,1
426,2010-09-18,2010-09-18,KATI,1
427,2010-09-18,2010-09-18,MOPTI,1
428,2010-09-18,2010-09-18,NIAFUNKE,1
429,2010-09-17,2010-09-17,BLA,1
430,2010-09-17,2010-09-17,BLA,1
431,2010-09-16,2010-09-16,BLA,1
432,2010-09-15,2010-09-15,TOMINIAN,1
433,2010-09-15,2010-09-15,BLA,1
434,2010-09-15,2010-09-15,BARAOUELI,1
435,2010-09-14,2010-09-14,KAYES,1
436,2010-09-14,2010-09-14,SAN,1
437,2010-09-14,2010-09-14,MACINA,1
438,2010-09-13,2010-09-13,NIONO,1
439,2010-09-13,2010-09-13,NIONO,1
440,2010-09-13,2010-09-13,NIONO,1
441,2010-09-13,2010-09-13,NIONO,1
442,2010-09-13,2010-09-13,NIONO,1
443,2010-09-12,2010-09-12,KITA,1
444,2010-09-12,2010-09-12,KAYES,1
445,2010-09-12,2010-09-12,NIORO,1
446,2010-09-12,2010-09-12,KENIEBA,1
447,2010-09-12,2010-09-12,KITA,1
448,2010-09-12,2010-09-12,YELIMANE,1
449,2010-09-12,2010-09-12,YELIMANE,1
450,2010-09-12,2010-09-12,BAFOULABE,1
451,2010-09-12,2010-09-12,KENIEBA,1
452,2010-09-11,2010-09-11,MACINA,1
453,2010-09-11,2010-09-11,MACINA,1
454,2010-09-11,2010-09-11,KOULIKORO,1
455,2010-09-09,2010-09-09,MOPTI,1
456,2010-09-09,2010-09-09,SEGOU,1
457,2010-09-09,2010-09-09,BOUGOUNI,1
458,2010-09-09,2010-09-09,NARA,1
459,2010-09-09,2010-09-09,NARA,1
460,2010-09-09,2010-09-09,BOUGOUNI,1
461,2010-09-08,2010-09-08,TOMINIAN,1
462,2010-09-06,2010-09-06,SAN,1
463,2010-09-06,2010-09-06,KOULIKORO,1
464,2010-09-06,2010-09-06,SAN,1
